Dimension,Value,Description
Age,<5,under 5 years old
Age,All,All age ranges or no breaks by age
Age,15+,15 years old and over
Freq,A,Annual
Location,T,All areas
Nature,C,Country Data
Nature,CA,Country Adjusted
Nature,E,Estimated
Nature,G,Global monitoring data
Nature,M,Modeled
Nature,NA,Not Available
Scenario,P,P
Scenario,LB,Lower bound
Scenario,UB,Upper bound
Sex,Total,Both
Units,USD,Constant USD
Units,index,Index
Units,NA,Not applicable
Units,#,Number
Units,Percentage,Percentage
Units,USD,USD
