M49,Name,Type
4,Afghanistan,
2,Africa,
8,Albania,
12,Algeria,
19,Americas,
20,Andorra,
24,Angola,
660,Anguilla,
28,Antigua and Barbuda,
32,Argentina,
51,Armenia,
142,Asia,
36,Australia,
53,Australia and New Zealand,
40,Austria,
31,Azerbaijan,
44,Bahamas,
48,Bahrain,
50,Bangladesh,
52,Barbados,
112,Belarus,
56,Belgium,
84,Belize,
204,Benin,
60,Bermuda,
64,Bhutan,
68,Bolivia,
70,Bosnia and Herzegovina,
72,Botswana,
76,Brazil,
96,Brunei Darussalam,
100,Bulgaria,
854,Burkina Faso,
108,Burundi,
116,Cambodia,
120,Cameroon,
124,Canada,
132,Cape Verde,
29,Caribbean,
135,Caucasus and Central Asia,
140,Central African Republic,
13,Central America,
143,Central Asia,
62,Central Asia and Southern Asia (SDG),
148,Chad,
152,Chile,
156,China,
170,Colombia,
174,Comoros,
178,Congo (Brazzaville),
180,"Congo, (Kinshasa)",
184,Cook Islands,
188,Costa Rica,
384,Côte d'Ivoire,
191,Croatia,
192,Cuba,
196,Cyprus,
203,Czech Republic,
208,Denmark,
514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",
515,Developing regions,
262,Djibouti,
212,Dominica,
214,Dominican Republic,
14,Eastern Africa,
753,Eastern and South-Eastern Asia,
30,Eastern Asia,
223,Eastern Asia (excluding Japan and China),
518,Eastern Asia (excluding Japan),
151,Eastern Europe,
218,Ecuador,
818,Egypt,
222,El Salvador,
226,Equatorial Guinea,
232,Eritrea,
233,Estonia,
231,Ethiopia,
150,Europe,
238,Falkland Islands (Malvinas),
234,Faroe Islands,
242,Fiji,
246,Finland,
250,France,
254,French Guiana,
266,Gabon,
270,Gambia,
268,Georgia,
276,Germany,
288,Ghana,
292,Gibraltar,
300,Greece,
304,Greenland,
308,Grenada,
316,Guam,
320,Guatemala,
324,Guinea,
624,Guinea-Bissau,
328,Guyana,
332,Haiti,
336,Holy See (Vatican City State),
340,Honduras,
348,Hungary,
352,Iceland,
356,India,
360,Indonesia,
917,International Centers (FAO),
364,"Iran, Islamic Republic of",
368,Iraq,
372,Ireland,
376,Israel,
380,Italy,
388,Jamaica,
392,Japan,
400,Jordan,
398,Kazakhstan,
404,Kenya,
296,Kiribati,
408,Korea (North),
410,Korea (South),
414,Kuwait,
417,Kyrgyzstan,
432,Landlocked developing countries (LLDCs),
418,Lao PDR,
420,Latin America,
419,Latin America and the Caribbean,
428,Latvia,
199,Least Developed Countries (LDCs),
422,Lebanon,
426,Lesotho,
430,Liberia,
434,Libya,
438,Liechtenstein,
440,Lithuania,
442,Luxembourg,
807,"Macedonia, Republic of",
450,Madagascar,
454,Malawi,
458,Malaysia,
462,Maldives,
466,Mali,
470,Malta,
584,Marshall Islands,
478,Mauritania,
480,Mauritius,
175,Mayotte,
54,Melanesia,
484,Mexico,
57,Micronesia,
583,"Micronesia, Federated States of",
17,Middle Africa,
498,Moldova,
492,Monaco,
496,Mongolia,
499,Montenegro,
500,Montserrat,
504,Morocco,
508,Mozambique,
104,Myanmar,
516,Namibia,
520,Nauru,
524,Nepal,
528,Netherlands,
554,New Zealand,
558,Nicaragua,
562,Niger,
566,Nigeria,
570,Niue,
15,Northern Africa,
746,Northern Africa (exc. Sudan),
747,Northern Africa and Western Asia,
21,Northern America,
513,Northern America and Europe,
154,Northern Europe,
580,Northern Mariana Islands,
578,Norway,
9,Oceania,
543,Oceania (exc. Australia and New Zealand),
512,Oman,
586,Pakistan,
585,Palau,
275,Palestinian Territory,
591,Panama,
598,Papua New Guinea,
600,Paraguay,
604,Peru,
608,Philippines,
616,Poland,
61,Polynesia,
620,Portugal,
634,Qatar,
642,Romania,
643,Russian Federation,
646,Rwanda,
659,Saint Kitts and Nevis,
662,Saint Lucia,
666,Saint Pierre and Miquelon,
670,Saint Vincent and the Grenadines	,
882,Samoa,
674,San Marino,
678,Sao Tome and Principe,
682,Saudi Arabia,
686,Senegal,
688,Serbia,
690,Seychelles,
694,Sierra Leone,
702,Singapore,
703,Slovakia,
705,Slovenia,
722,Small island developing States (SIDS),
90,Solomon Islands,
706,Somalia,
710,South Africa,
5,South America,
728,South Sudan,
35,South-eastern Asia,
18,Southern Africa,
34,Southern Asia,
127,Southern Asia (excluding India),
39,Southern Europe,
724,Spain,
144,Sri Lanka,
202,Sub-Saharan Africa,
738,Sub-Saharan Africa (inc. Sudan),
736,Sudan,
740,Suriname,
748,Swaziland,
752,Sweden,
756,Switzerland,
760,Syrian Arab Republic (Syria),
762,Tajikistan,
834,"Tanzania, United Republic of",
764,Thailand,
626,Timor-Leste,
768,Togo,
772,Tokelau,
776,Tonga,
780,Trinidad and Tobago,
788,Tunisia,
792,Turkey,
795,Turkmenistan,
796,Turks and Caicos Islands,
798,Tuvalu,
800,Uganda,
804,Ukraine,
784,United Arab Emirates,
826,United Kingdom,
840,United States of America,
850,United States Virgin Islands	,
858,Uruguay,
860,Uzbekistan,
548,Vanuatu,
862,Venezuela (Bolivarian Republic),
704,Viet Nam,
11,Western Africa,
145,Western Asia,
485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",
155,Western Europe,
1,World,
889,World Trade Organization (WTO) Member States,
916,WTO Developed Member States,
915,WTO Developing Member States,
887,Yemen,
894,Zambia,
716,Zimbabwe,
