Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Scenario,Sex,Units
6,6.b,6.b.1,ER_H2O_PROCED,Central Asia and Southern Asia (SDG),2014,75,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Africa,2014,90.909091,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Sub-Saharan Africa,2014,86.111111,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Sub-Saharan Africa,2014,77.777778,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central America,2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central America,2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Europe,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Europe,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Oceania,2017,50,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Oceania,2017,50,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Oceania,2014,25,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Oceania,2014,50,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Oceania (exc. Australia and New Zealand),2014,25,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Oceania (exc. Australia and New Zealand),2014,50,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Middle Africa,2017,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Middle Africa,2017,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Micronesia,2014,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Least Developed Countries (LDCs),2014,89.473684,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Africa,2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Least Developed Countries (LDCs),2014,84.210526,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Latin America and the Caribbean,2017,76.190476,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Caribbean,2017,40,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Asia (excluding Japan),2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Polynesia,2014,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Polynesia,2014,50,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,South America,2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,South America,2014,87.5,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Melanesia,2014,50,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Melanesia,2014,50,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Micronesia,2014,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Europe,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Europe,2017,100,Float,All,A,Urban,E,P,Total,Percentage
