Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Scenario,Sex,Units
6,6.4,6.4.2,ER_H2O_STRESS,Uruguay,2014,3.522683,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Belize,2014,0.687203,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Costa Rica,2014,3.064842,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,El Salvador,2014,11.370042,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Trinidad and Tobago,2014,12.332322,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Puerto Rico,2014,21.2749,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Saint Kitts and Nevis,2014,51.25,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Saint Lucia,2014,14.3,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Jamaica,2014,11.340697,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Djibouti,2014,7.899253,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Haiti,2014,15.638471,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Grenada,2014,7.05,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Dominican Republic,2014,43.730804,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Barbados,2014,87.5,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Cuba,2014,25.623349,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Antigua and Barbuda,2014,8.461538,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Bahamas,2014,0,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Latin America and the Caribbean,2014,3.4,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Switzerland,2014,7.373763,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Luxembourg,2014,2.462857,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Dominica,2014,10,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Comoros,2014,1.168125,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Burundi,2014,3.088507,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Eritrea,2014,10.106517,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Togo,2014,1.774125,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Fiji,2014,0.450118,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Papua New Guinea,2014,0.088169,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Solomon Islands,2014,0,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Vanuatu,2014,0,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,New Zealand,2014,2.74631,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Australia,2014,5.26389,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Australia and New Zealand,2014,3,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Morocco,2014,49.035702,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Sudan,2014,93.669567,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Tunisia,2014,94.008733,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Sub-Saharan Africa,2014,2.5,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Libya,2014,1071.995277,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Egypt,2014,159.851775,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Algeria,2014,87.994446,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Yemen,2014,227.681387,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Northern Africa,2014,85.1,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Kenya,2014,14.312592,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Madagascar,2014,5.758778,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Malawi,2014,11.077864,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Ethiopia,2014,11.596806,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Netherlands,2014,21.07981,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Austria,2014,7.622535,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Belgium,2014,56.484946,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Germany,2014,41.460936,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Bosnia and Herzegovina,2014,1.434007,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Norway,2014,1.148931,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Sweden,2014,2.876045,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Latvia,2014,1.099899,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Lithuania,2014,3.971744,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Slovakia,2014,1.908712,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Ukraine,2014,13.905757,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Romania,2014,5.098177,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Russian Federation,2014,2.008358,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Finland,2014,10.45443,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Iceland,2014,2.641627,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Ireland,2014,2.379738,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Estonia,2014,22.47646,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Denmark,2014,20.719166,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Nepal,2014,5.860593,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Maldives,2014,15.666667,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,"Iran, Islamic Republic of",2014,89.999635,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Sri Lanka,2014,34.076768,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Pakistan,2014,102.500488,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,India,2014,44.529409,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Bhutan,2014,0.562424,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Andorra,2014,0,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Oceania,2014,2.4,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Croatia,2014,0.978505,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,United Kingdom,2014,9.673288,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,France,2014,22.769665,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Greece,2014,19.721428,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Italy,2014,44.828613,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Malta,2014,44.356436,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Serbia,2014,4.278044,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Portugal,2014,17.050567,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Spain,2014,49.651848,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,"Macedonia, Republic of",2014,13.182344,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Slovenia,2014,6.127563,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,World,2014,12.7,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Northern America,2014,8.1,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Poland,2014,37.787668,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Moldova,2014,13.215526,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Hungary,2014,8.204575,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Bulgaria,2014,40.651211,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Czech Republic,2014,23.992001,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,United States of America,2014,22.609486,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Canada,2014,2.208498,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Bermuda,2014,4.24,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Belarus,2014,4.543967,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Europe,2014,5,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Albania,2014,6.468265,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Benin,2014,0.707898,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Swaziland,2014,32.347334,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Namibia,2014,0.93446,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Bahrain,2014,205.775862,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Israel,2014,110.45037,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Iraq,2014,93.055189,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Georgia,2014,4.573511,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Azerbaijan,2014,53.126134,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Western Asia,2014,47.8,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Armenia,2014,59.339229,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Viet Nam,2014,12.789318,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Lebanon,2014,33.284234,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Oman,2014,106.231736,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Qatar,2014,472.53599,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Jordan,2014,118.399663,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Kuwait,2014,2603.487042,Float,All,A,T,NA,P,Total,Percentage
6,6.4,6.4.2,ER_H2O_STRESS,Palestinian Territory,2014,48.74552,Float,All,A,T,NA,P,Total,Percentage
