Dimension,Value,Description
Age,30-70,30 to 70 years old
Age,T,All age ranges or no breakdown by age
Age,<1,under 1 year old
Age,<5,under 5 years old
Age,15+,15 years old and over
Age,15-24,15 to 24 years old
Age,25+,25 years old and over
Age,18+,18 years old and over
Age,<1m,under 1 month old
Age,15-49,15 to 49 years old
Age,<15,under 15 years old
Age,15-19,15 to 19 years old
Freq,A,Annual
Location,T,Total (national level)
Location,R,Rural
Location,U,Urban
Nature,G,Global monitoring data
Nature,C,Country Data
Nature,E,Estimated
Nature,NA,Not Available
Nature,CA,Country Adjusted
Nature,M,Modeled
Scenario,P,P
Scenario,LB,Lower bound
Scenario,UB,Upper bound
Sex,Total,Total
Sex,Male,Male
Sex,Female,Female
Units,#,Number
Units,Percentage,Percentage
Units,Ration,Ratio
Units,per 1000 pop,"Per 1,000 population"
Units,NA,Not applicable
Units,USD,USD
Units,per 1000 births,"Per 1,000 live births"
Units,Prob,Probability
Units,T,Metric Tons
Units,Km^2,Square kilometers
Units,Km,Kilometres
Units,per 100000 pop,"Per 100,000 population"
Units,MJ_PER_GDP_CON_PPP_USD,Megajoules per USD constant 2011 PPP GDP
Units,h,Hectares
Units,per 1000 usd,Per 1000 USD
Units,Kg,Kilograms
Units,L,Litres pure alcohol
Units,TKm,Tonne kilometres
Units,per 1000 uninfec.pop,"Per 1,000 uninfected population"
Units,USD,Constant USD
Units,per 100000 birth,"Per 100,000 live births"
Units,mgr/m^3,Micrograms per cubic meter
Units,index,Index
